State_TW,State_EN,Gender,新北巿 New Taipei City,臺北市 Taipei City,桃園巿 Taoyuan City,臺中市 Taichung City,臺南市 Tainan City,高雄市 Kaohsiung City,宜蘭縣 Yilan County,新竹縣 Hsinchu County,苗栗縣 Miaoli County,彰化縣 Changhua County,南投縣 Nantou County,雲林縣 Yunlin County,嘉義縣 Chiayi County,屏東縣 Pingtung County,臺東縣 Taitung County,花蓮縣 Hualien County,澎湖縣 Penghu County,基隆市 Keelung City,新竹市 Hsinchu City,嘉義市 Chiayi City,金門縣 Kinmen County,連江縣 Lienchiang County
匈牙利,(HUNGARY),Male,11,12,4,8,8,7,1,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0
匈牙利,(HUNGARY),Female,3,16,1,3,0,10,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
挪威,(NORWAY),Male,4,9,0,0,1,6,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
挪威,(NORWAY),Female,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
波蘭,(POLAND),Male,33,72,8,46,7,16,0,4,1,1,1,0,2,0,0,2,0,1,7,3,0,0
波蘭,(POLAND),Female,24,52,6,11,5,15,1,3,0,1,1,0,0,0,0,1,0,1,2,0,0,0
葡萄牙,(PORTUGAL),Male,24,71,17,29,14,13,0,0,0,1,2,1,1,1,0,1,1,2,11,0,0,0
葡萄牙,(PORTUGAL),Female,15,64,11,14,8,7,1,0,0,2,1,2,1,1,0,3,0,0,2,1,0,0
羅馬尼亞,(ROMANIA),Male,6,26,3,8,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
羅馬尼亞,(ROMANIA),Female,2,8,1,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
西班牙,(SPAIN),Male,64,148,23,32,9,45,1,7,3,2,2,2,2,12,2,4,0,0,7,3,0,0
西班牙,(SPAIN),Female,13,49,4,7,4,15,0,2,1,0,0,0,1,12,0,0,0,0,0,0,0,0
瑞典,(SWEDEN),Male,18,51,6,8,4,6,1,3,0,0,0,1,0,1,0,1,1,0,1,2,0,0
瑞典,(SWEDEN),Female,4,19,1,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
瑞士,(SWITZERLAND),Male,24,69,25,16,5,13,1,5,0,1,0,0,0,1,3,3,0,0,2,0,0,0
瑞士,(SWITZERLAND),Female,5,14,2,4,0,3,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0
烏克蘭,(UKRAINE),Male,17,18,6,13,3,12,0,9,2,1,1,1,0,0,0,15,0,0,6,0,0,0
烏克蘭,(UKRAINE),Female,15,29,8,18,5,20,0,13,0,1,0,1,0,0,0,5,0,2,6,0,0,0
英國,(UNITED KINGDOM),Male,409,"1,049",100,314,121,160,22,40,19,23,15,7,10,25,12,20,3,16,45,5,1,0
英國,(UNITED KINGDOM),Female,76,303,19,48,17,30,3,11,5,7,2,2,0,4,5,3,0,4,13,2,1,0
巴布亞紐幾內亞,(PAPUA NEW GUINEA),Male,4,3,2,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0
巴布亞紐幾內亞,(PAPUA NEW GUINEA),Female,2,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
拉脫維亞,(LATVIA),Male,3,15,0,3,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
拉脫維亞,(LATVIA),Female,2,7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
愛沙尼亞,(ESTONIA),Male,0,3,2,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
愛沙尼亞,(ESTONIA),Female,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
亞美尼亞,(ARMENIA),Male,4,3,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
亞美尼亞,(ARMENIA),Female,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
俄羅斯,(RUSSIAN FEDERATION),Male,50,101,33,23,12,30,5,8,5,3,0,0,2,3,0,5,0,2,13,0,0,0
俄羅斯,(RUSSIAN FEDERATION),Female,88,124,11,38,12,34,3,5,1,2,1,1,10,2,0,4,0,6,16,0,0,0
立陶宛,(LITHUANIA),Male,3,21,4,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
立陶宛,(LITHUANIA),Female,1,7,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
烏玆別克,(UZBEKISTAN),Male,3,1,2,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
烏玆別克,(UZBEKISTAN),Female,6,1,1,0,0,3,1,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0
哈薩克,(KAZAKHSTAN),Male,0,2,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,1,3,0,0,0
哈薩克,(KAZAKHSTAN),Female,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
摩爾多瓦,(MOLDOVA),Male,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
摩爾多瓦,(MOLDOVA),Female,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
吉爾吉斯,(KYRGYZSTAN),Male,1,2,6,5,1,6,0,0,0,0,1,0,2,0,0,18,0,0,0,0,0,0
吉爾吉斯,(KYRGYZSTAN),Female,1,0,1,5,0,8,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
塔吉克,(TAJIKISTAN),Male,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
塔吉克,(TAJIKISTAN),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
土庫曼,(TURKMEN),Male,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
土庫曼,(TURKMEN),Female,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
亞塞拜然,(AZERBAIJAN),Male,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
亞塞拜然,(AZERBAIJAN),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
喬治亞,(GEORGIA),Male,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
喬治亞,(GEORGIA),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
克羅埃西亞,(CROATIA),Male,5,13,1,4,7,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
克羅埃西亞,(CROATIA),Female,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
斯洛維尼亞,(SLOVENIA),Male,3,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
斯洛維尼亞,(SLOVENIA),Female,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
馬其頓,(MACEDONIA),Male,4,5,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
馬其頓,(MACEDONIA),Female,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
波士尼亞,(BOSNIA),Male,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
波士尼亞,(BOSNIA),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
斯洛伐克,(SLOVAKIA),Male,7,10,1,4,5,3,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
斯洛伐克,(SLOVAKIA),Female,1,5,0,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
塞爾維亞,(SERBIA),Male,4,3,2,1,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
塞爾維亞,(SERBIA),Female,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
巴貝多,(BARBADOS),Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
巴貝多,(BARBADOS),Female,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
加拿大,(CANADA),Male,350,626,125,236,98,212,22,43,13,23,14,7,6,24,20,24,1,6,58,13,0,0
加拿大,(CANADA),Female,125,323,55,87,27,74,1,23,7,8,2,5,6,8,3,4,0,10,19,10,1,0
哥斯大黎加,(COSTA RICA),Male,1,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
哥斯大黎加,(COSTA RICA),Female,2,3,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
古巴,(CUBA),Male,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
古巴,(CUBA),Female,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
多明尼加,(DOMINICAN),Male,7,8,2,2,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
多明尼加,(DOMINICAN),Female,3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
薩爾瓦多,(EL SALVADOR),Male,15,12,5,7,10,5,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
薩爾瓦多,(EL SALVADOR),Female,16,2,1,6,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
瓜地馬拉,(GUATEMALA),Male,24,36,21,5,6,10,0,0,0,3,0,0,0,2,0,2,0,0,8,0,0,0
瓜地馬拉,(GUATEMALA),Female,20,34,8,1,1,5,0,1,0,1,0,0,0,0,0,2,0,1,3,1,0,0
海地,(HAITI),Male,26,12,33,8,15,1,0,1,0,0,0,0,0,5,0,0,0,2,21,0,0,0
海地,(HAITI),Female,6,7,9,2,1,1,0,0,0,0,0,0,0,2,0,1,0,0,8,0,0,0
宏都拉斯,(HONDURAS),Male,43,61,28,6,25,31,0,5,1,0,0,0,1,3,0,7,0,0,14,0,0,0
